,username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
398,bourvil74,2011,83,68,35-49,H,france,"{'Francaise': 27, 'Europeenne': 16, 'Italienne': 4, 'Pizza': 3, 'Mediterraneenne': 3, 'Bar': 3, 'Suisse': 1, 'Steakhouse': 1, 'Saine': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Libanaise': 1, 'Grillades': 1, 'Fusion': 1, 'Diner': 1}",4.09,4.04,3.94,3.77,1.68,0.05,1.84
400,Laetitia_Gerard74,2008,57,50,35-49,F,france,"{'Europeenne': 3, 'Ethiopienne': 1, 'Toscane': 1, 'Thai': 1, 'Restaurants_de_biere': 1, 'Pub': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Italie_du_Centre': 1, 'Francaise': 1, 'Bar': 1, 'Asiatique': 1}",4.22,4.22,4.22,4.0,2.15,0.0,1.78
403,icazec,2015,148,127,50-64,F,None,"{'Europeenne': 25, 'Francaise': 16, 'Italienne': 11, 'Suisse': 8, 'Pizza': 8, 'Asiatique': 8, 'Restauration_rapide': 7, 'Mediterraneenne': 7, 'Cafe': 4, 'Americaine': 4, 'Sushi': 3, 'Japonaise': 3, 'Italie_du_Sud': 3, 'Chinoise': 3, 'Bar': 3, 'Thai': 2, 'Saine': 2, 'Napolitaine': 2, 'Libanaise': 2, 'Indienne': 2, 'Diner': 2, 'Campanie': 2, 'Brasserie_gastronomique': 2, 'Vietnamienne': 1, 'Traiteur': 1, 'Steakhouse': 1, 'Sicilienne': 1, 'Pub': 1, 'Portugaise': 1, 'Mexicaine': 1, 'Marocaine': 1, 'Internationale': 1, 'Grillades': 1}",3.88,3.64,3.56,3.46,2.26,0.04,1.87
409,FlorianeC135,2016,23,20,None,None,suisse,"{'Europeenne': 7, 'Francaise': 6, 'Suisse': 4, 'Italienne': 2, 'Pub': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Brasserie_gastronomique': 1}",3.66,3.62,3.62,3.34,2.25,0.0,1.94
413,piloup13,2016,11,7,None,None,None,"{'Francaise': 6, 'Europeenne': 4, 'Pub': 1, 'Bar': 1}",4.11,4.17,4.2,4.0,1.48,0.17,2.0
419,818c_lined,2016,31,21,None,None,france,"{'Francaise': 11, 'Europeenne': 10, 'Suisse': 2, 'Steakhouse': 2, 'Pub': 2, 'Brasserie_gastronomique': 2, 'Saine': 1}",3.82,4.08,4.08,3.43,2.91,0.0,2.52
422,Qinstafood,2012,152,79,18-24,H,france,"{'Francaise': 44, 'Europeenne': 35, 'Saine': 9, 'Suisse': 6, 'Bar': 4, 'Pub': 3, 'Moderne': 3, 'Italienne': 3, 'Internationale': 3, 'Mediterraneenne': 2, 'Asiatique': 2, 'Steakhouse': 1, 'Pizza': 1, 'Indienne': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Cafe': 1, 'Americaine': 1}",4.08,4.14,4.11,3.86,3.21,0.14,2.14
428,Manugil,2009,97,406,50-64,H,suisse,"{'Europeenne': 61, 'Francaise': 51, 'Suisse': 29, 'Mediterraneenne': 13, 'Italienne': 11, 'Pizza': 8, 'Steakhouse': 4, 'Brasserie_gastronomique': 4, 'Napolitaine': 3, 'Italie_du_Sud': 3, 'Europe_centrale': 3, 'Campanie': 3, 'Internationale': 2, 'Chinoise': 2, 'Cafe': 2, 'Bar': 2, 'Asiatique': 2, 'Traiteur': 1, 'Thai': 1, 'Saine': 1, 'Pub': 1, 'Portugaise': 1, 'Moderne': 1, 'Espagnole': 1, 'Croate': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1, 'Asie_centrale': 1, 'Americaine': 1}",3.94,4.09,3.99,3.79,3.26,0.07,2.05
444,SwissTesting,2013,98,49,25-34,H,suisse,"{'Europeenne': 15, 'Francaise': 13, 'Asiatique': 5, 'Chinoise': 4, 'Vietnamienne': 3, 'Thai': 3, 'Italienne': 3, 'Suisse': 2, 'Pub': 2, 'Pizza': 2, 'Japonaise': 2, 'Bar': 2, 'Turque': 1, 'Sushi': 1, 'Steakhouse': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Italie_du_Sud': 1, 'Europe_centrale': 1, 'Campanie': 1, 'Cafe': 1, 'Brasserie_gastronomique': 1, 'Bar_a_bieres': 1}",3.88,4.01,3.84,3.71,3.03,0.12,2.01
462,Doudouatombouktou,2015,22,20,None,None,france,"{'Francaise': 4, 'Europeenne': 3, 'Bar': 2, 'Pub': 1, 'Moderne': 1, 'Diner': 1}",4.1,4.24,4.12,3.74,2.98,0.0,2.24
470,MrsJuliee,2013,54,55,None,None,france,"{'Francaise': 19, 'Europeenne': 16, 'Italienne': 6, 'Restauration_rapide': 4, 'Mediterraneenne': 4, 'Asiatique': 4, 'Suisse': 3, 'Japonaise': 3, 'Internationale': 3, 'Chinoise': 3, 'Vietnamienne': 2, 'Sushi': 2, 'Pub': 2, 'Pizza': 2, 'Indienne': 2, 'Bar': 2, 'Traiteur': 1, 'Thai': 1, 'Soupes': 1, 'Saine': 1, 'Pakistanaise': 1, 'Moderne': 1, 'Espagnole': 1, 'Diner': 1, 'Cafe': 1, 'Brasserie_gastronomique': 1, 'Bar_a_bieres': 1, 'Americaine': 1}",3.71,3.77,3.83,3.67,2.08,0.04,1.8
503,MimiDudu74,2013,25,13,None,None,france,"{'Francaise': 7, 'Europeenne': 4, 'Saine': 3, 'Bar': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Tunisienne': 1, 'Sushi': 1, 'Suisse': 1, 'Pub': 1, 'Mediterraneenne': 1, 'Marocaine': 1, 'Japonaise': 1, 'Indienne': 1}",3.76,2.97,3.01,2.8,1.98,0.1,1.82
518,Nicook,2010,31,13,None,None,None,"{'Francaise': 7, 'Japonaise': 4, 'Europeenne': 4, 'Asiatique': 4, 'Sushi': 3, 'Pakistanaise': 3, 'Indienne': 3, 'Chinoise': 3, 'Turque': 2, 'Restauration_rapide': 2, 'Pizza': 2, 'Mediterraneenne': 2, 'Italienne': 2, 'Vietnamienne': 1, 'Steakhouse': 1, 'Pub': 1, 'Marocaine': 1, 'Libanaise': 1, 'Grillades': 1, 'Fusion': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Americaine': 1}",3.78,3.86,3.8,3.8,1.81,0.02,1.62
522,chlo_c869,2022,1,1,None,None,None,"{'Pub': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Americaine': 1}",5.0,0.0,0.0,0.0,0.0,0.0,0.0
523,M12vincentb,2017,3,3,None,None,None,"{'Pub': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Americaine': 1}",5.0,0.0,0.0,0.0,0.0,0.0,0.0
524,950c_lineg,2018,2,2,None,None,None,"{'Pub': 1, 'Francaise': 1, 'Europeenne': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Americaine': 1}",4.75,2.25,2.25,2.0,2.0,0.5,1.5
539,yohanberlioz1400,2008,57,42,25-34,H,france,"{'Europeenne': 3, 'Asiatique': 2, 'Restauration_rapide': 1, 'Pub': 1, 'Mediterraneenne': 1, 'Moderne': 1, 'Italienne': 1, 'Irlandaise': 1, 'Internationale': 1, 'Indienne': 1, 'Francaise': 1, 'Britannique': 1, 'Bar': 1, 'Americaine': 1}",3.91,4.16,3.91,3.82,3.12,0.0,2.0
542,Tubalcain65,2017,83,40,50-64,H,suisse,"{'Francaise': 38, 'Europeenne': 38, 'Suisse': 28, 'Italienne': 4, 'Brasserie_gastronomique': 4, 'Steakhouse': 3, 'Europe_centrale': 3, 'Pub': 2, 'Pizza': 2, 'Grillades': 2, 'Bar': 2, 'Americaine': 2, 'Saine': 1, 'Mediterraneenne': 1}",4.04,3.95,3.9,3.69,2.02,0.1,2.11
543,Servette83,2017,9,9,None,None,france,"{'Francaise': 2, 'Suisse': 1, 'Steakhouse': 1, 'Pub': 1, 'Italienne': 1, 'Europeenne': 1, 'Brasserie_gastronomique': 1}",3.84,3.41,3.41,3.41,3.41,0.0,1.75
550,jeanmarcb291,2015,116,69,None,None,None,"{'Francaise': 25, 'Europeenne': 23, 'Italienne': 4, 'Bar': 3, 'Brasserie_gastronomique': 2, 'Toscane': 1, 'Suisse': 1, 'Sicilienne': 1, 'Saine': 1, 'Romana': 1, 'Restaurants_de_biere': 1, 'Pub': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Moderne': 1, 'Latium': 1, 'Italie_du_Sud': 1, 'Italie_du_Centre': 1, 'Cafe': 1, 'Asiatique': 1, 'Americaine': 1}",4.04,4.15,4.1,3.83,3.11,0.03,2.12
557,alain237,2019,169,57,None,None,None,"{'Europeenne': 40, 'Francaise': 30, 'Suisse': 23, 'Italienne': 3, 'Internationale': 3, 'Europe_centrale': 3, 'Cafe': 3, 'Portugaise': 2, 'Pizza': 2, 'Mediterraneenne': 2, 'Moderne': 2, 'Asiatique': 2, 'Thai': 1, 'Sushi': 1, 'Saine': 1, 'Pub': 1, 'Japonaise': 1, 'Brasserie_gastronomique': 1}",4.12,3.94,3.86,3.62,2.02,0.14,2.26
567,coquillette74,2011,43,102,50-64,F,france,"{'Francaise': 14, 'Europeenne': 9, 'Saine': 3, 'Pub': 2, 'Brasserie_gastronomique': 2, 'Bar_a_bieres': 2, 'Bar': 2, 'Mediterraneenne': 1, 'Marocaine': 1, 'Japonaise': 1, 'Italienne': 1, 'Indienne': 1, 'Chinoise': 1, 'Asiatique': 1}",4.06,4.19,4.03,3.9,3.34,0.0,1.94
568,Heloise74,2014,28,36,25-34,F,suisse,"{'Francaise': 9, 'Europeenne': 9, 'Bar': 3, 'Sushi': 2, 'Restauration_rapide': 2, 'Pub': 2, 'Italienne': 2, 'Bar_a_bieres': 2, 'Asiatique': 2, 'Thai': 1, 'Suisse': 1, 'Pizza': 1, 'Napolitaine': 1, 'Japonaise': 1, 'Italie_du_Sud': 1, 'Campanie': 1, 'Americaine': 1}",3.64,3.9,3.73,3.62,2.31,0.0,1.8
570,119fannyf,2015,137,80,None,None,france,"{'Europeenne': 13, 'Francaise': 10, 'Mediterraneenne': 7, 'Italienne': 5, 'Libanaise': 3, 'Saine': 2, 'Pizza': 2, 'Indienne': 2, 'Brasserie_gastronomique': 2, 'Traiteur': 1, 'Suisse': 1, 'Steakhouse': 1, 'Soupes': 1, 'Pub': 1, 'Moderne': 1, 'Internationale': 1, 'Hawaienne': 1, 'Fusion': 1}",4.12,4.07,3.9,3.82,3.37,0.1,2.01
575,pierrepB1853OZ,2016,220,100,None,None,france,"{'Europeenne': 45, 'Francaise': 39, 'Italienne': 29, 'Pizza': 19, 'Mediterraneenne': 19, 'Suisse': 7, 'Bar': 4, 'Americaine': 4, 'Steakhouse': 3, 'Japonaise': 3, 'Chinoise': 3, 'Asiatique': 3, 'Marocaine': 2, 'Lombarde': 2, 'Italie_du_Nord': 2, 'Internationale': 2, 'Vietnamienne': 1, 'Turque': 1, 'Tunisienne': 1, 'Toscane': 1, 'Thai': 1, 'Sushi': 1, 'Saine': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Napolitaine': 1, 'Mexicaine': 1, 'Libanaise': 1, 'Italie_du_Sud': 1, 'Italie_du_Centre': 1, 'Espagnole': 1, 'Diner': 1, 'Campanie': 1, 'Cafe': 1, 'Brasserie_gastronomique': 1, 'Amerique_centrale': 1}",3.64,3.73,3.67,3.54,2.75,0.04,1.95
576,beer-thome,2015,169,68,35-49,H,suisse,"{'Europeenne': 29, 'Francaise': 19, 'Suisse': 10, 'Pub': 7, 'Mediterraneenne': 7, 'Italienne': 7, 'Bar': 7, 'Americaine': 6, 'Pizza': 4, 'Steakhouse': 3, 'Perse': 3, 'Libanaise': 3, 'Internationale': 3, 'Restauration_rapide': 2, 'Mexicaine': 2, 'Grillades': 2, 'Fusion': 2, 'Europe_centrale': 2, 'Brasserie_gastronomique': 2, 'Ethiopienne': 1, 'Saine': 1, 'Romana': 1, 'Moderne': 1, 'Marocaine': 1, 'Latium': 1, 'Italie_du_Centre': 1, 'Diner': 1, 'Croate': 1, 'Bar_a_bieres': 1, 'Africaine': 1, 'Afghane': 1}",3.88,3.77,3.7,3.63,2.53,0.02,1.92
588,Dutriev,2013,337,133,35-49,H,france,"{'Francaise': 53, 'Europeenne': 48, 'Italienne': 8, 'Asiatique': 8, 'Mediterraneenne': 7, 'Pizza': 6, 'Moderne': 5, 'Saine': 4, 'Chinoise': 4, 'Vietnamienne': 3, 'Thai': 3, 'Brasserie_gastronomique': 3, 'Suisse': 2, 'Japonaise': 2, 'Internationale': 2, 'Indienne': 2, 'Bar': 2, 'Toscane': 1, 'Sushi': 1, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Pakistanaise': 1, 'Libanaise': 1, 'Italie_du_Centre': 1, 'Grillades': 1, 'Fusion': 1, 'Diner': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1, 'Americaine': 1}",4.05,4.06,4.07,3.84,3.2,0.11,2.1
603,Kimico1201,2014,376,137,25-34,F,suisse,"{'Europeenne': 27, 'Francaise': 26, 'Asiatique': 15, 'Suisse': 11, 'Bar': 11, 'Pizza': 7, 'Chinoise': 7, 'Pub': 6, 'Italienne': 6, 'Internationale': 6, 'Thai': 5, 'Japonaise': 4, 'Cafe': 4, 'Americaine': 4, 'Restauration_rapide': 3, 'Mediterraneenne': 3, 'Bar_a_vins': 3, 'Moderne': 2, 'Grillades': 2, 'Diner': 2, 'Vietnamienne': 1, 'Turque': 1, 'Tibetaine': 1, 'Sushi': 1, 'Steakhouse': 1, 'Saine': 1, 'Mexicaine': 1, 'Indienne': 1, 'Espagnole': 1, 'Coreenne': 1, 'Brasserie_gastronomique': 1}",3.74,3.52,3.47,3.29,1.99,0.02,1.86
607,veroniquetesauri,2017,12,4,50-64,F,suisse,"{'Europeenne': 4, 'Bar': 4, 'Asiatique': 4, 'Pub': 3, 'Chinoise': 3, 'Suisse': 2, 'Pizza': 2, 'Italienne': 2, 'Francaise': 2, 'Thai': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Marocaine': 1, 'Libanaise': 1, 'Japonaise': 1, 'Indienne': 1}",3.79,3.35,3.41,3.24,1.92,0.0,1.74
613,paloma2000ch,2011,37,74,35-49,F,france,"{'Francaise': 4, 'Europeenne': 4, 'Bar': 2, 'Suisse': 1, 'Pizza': 1, 'Japonaise': 1, 'Italienne': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Asiatique': 1}",3.52,3.58,3.73,3.44,2.83,0.0,1.54
623,sgtl2016,2016,12,8,None,None,croatie,"{'Europeenne': 3, 'Suisse': 2, 'Japonaise': 2, 'Francaise': 2, 'Chinoise': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Thai': 1, 'Saine': 1, 'Pub': 1, 'Bar': 1}",3.82,3.8,3.92,3.78,3.3,0.0,1.45
624,guillaumer501,2012,44,22,None,None,None,"{'Francaise': 19, 'Europeenne': 18, 'Italienne': 14, 'Pizza': 12, 'Asiatique': 5, 'Mediterraneenne': 3, 'Japonaise': 3, 'Chinoise': 3, 'Suisse': 2, 'Restauration_rapide': 2, 'Vietnamienne': 1, 'Toscane': 1, 'Thai': 1, 'Sushi': 1, 'Steakhouse': 1, 'Sicilienne': 1, 'Saine': 1, 'Romana': 1, 'Pub': 1, 'Latium': 1, 'Italie_du_Sud': 1, 'Italie_du_Centre': 1, 'Fusion': 1, 'Bar': 1}",3.81,3.56,3.53,3.46,2.09,0.03,1.86
634,Danny G,2016,1,2,None,None,suisse,"{'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",3.0,3.5,3.5,3.5,3.5,0.0,1.0
